LECROYWR640Zi,60762,Waveform
Segments,1,SegmentSize,402
Segment,TrigTime,TimeSinceSegment1
#1,11-Oct-2021 10:20:48,0                 
Time,Ampl
2.45648728e-005,0.00535517
2.45648978e-005,0.00524532
2.45649228e-005,0.00519039
2.45649478e-005,0.00420175
2.45649728e-005,0.00167521
2.45649978e-005,-0.00126327
2.45650228e-005,-0.00337787
2.45650478e-005,-0.00414682
2.45650728e-005,-0.00214207
2.45650978e-005,0.00214207
2.45651228e-005,0.00568471
2.45651478e-005,0.00650859
2.45651728e-005,0.00439398
2.45651978e-005,8.23872e-005
2.45652228e-005,-0.00433906
2.45652478e-005,-0.0066459
2.45652728e-005,-0.00716768
2.45652978e-005,-0.00703037
2.45653228e-005,-0.00584949
2.45653478e-005,-0.00381727
2.45653728e-005,-0.00200475
2.45653978e-005,-0.000466861
2.45654228e-005,0.000878796
2.45654478e-005,0.00164774
2.45654728e-005,0.00315817
2.45654978e-005,0.00557486
2.45655228e-005,0.00725007
2.45655478e-005,0.00678321
2.45655728e-005,0.00458622
2.45655978e-005,0.00151043
2.45656228e-005,-0.000933721
2.45656478e-005,-0.00129073
2.45656728e-005,0.000411936
2.45656978e-005,0.00313071
2.45657228e-005,0.0059868
2.45657478e-005,0.0081014
2.45657728e-005,0.00785424
2.45657978e-005,0.00573964
2.45658228e-005,0.00370742
2.45658478e-005,0.0036525
2.45658728e-005,0.0068656
2.45658978e-005,0.0121384
2.45659228e-005,0.0160655
2.45659478e-005,0.016395
2.45659728e-005,0.013127
2.45659978e-005,0.00821125
2.45660228e-005,0.00378981
2.45660478e-005,0.000906259
2.45660728e-005,-0.000714022
2.45660978e-005,-0.00162028
2.45661228e-005,-0.00153789
2.45661478e-005,-0.000521785
2.45661728e-005,0.00101611
2.45661978e-005,0.00241669
2.45662228e-005,0.0032131
2.45662478e-005,0.00403697
2.45662728e-005,0.00560233
2.45662978e-005,0.00766201
2.45663228e-005,0.00914498
2.45663478e-005,0.00892528
2.45663728e-005,0.00716768
2.45663978e-005,0.00524532
2.45664228e-005,0.00475099
2.45664478e-005,0.0059868
2.45664728e-005,0.00777186
2.45664978e-005,0.00884289
2.45665228e-005,0.0091999
2.45665478e-005,0.00944706
2.45665728e-005,0.0102435
2.45665978e-005,0.0112596
2.45666228e-005,0.0108476
2.45666478e-005,0.00821125
2.45666728e-005,0.0040919
2.45666978e-005,0.000384473
2.45667228e-005,-0.00123581
2.45667478e-005,-0.00057671
2.45667728e-005,0.00104357
2.45667978e-005,0.00175759
2.45668228e-005,0.000466861
2.45668478e-005,-0.00151043
2.45668728e-005,-0.00249908
2.45668978e-005,-0.00153789
2.45669228e-005,0.00159282
2.45669478e-005,0.00541009
2.45669728e-005,0.00804648
2.45669978e-005,0.00925482
2.45670228e-005,0.0094196
2.45670478e-005,0.00887035
2.45670728e-005,0.00782678
2.45670978e-005,0.00637127
2.45671228e-005,0.00436652
2.45671478e-005,0.00230684
2.45671728e-005,0.00101611
2.45671978e-005,0.000466861
2.45672228e-005,0.000494323
2.45672478e-005,0.00131819
2.45672728e-005,0.00293848
2.45672978e-005,0.0053277
2.45673228e-005,0.00782678
2.45673478e-005,0.00933721
2.45673728e-005,0.00928229
2.45673978e-005,0.00777186
2.45674228e-005,0.00530024
2.45674478e-005,0.00274624
2.45674728e-005,0.000851334
2.45674978e-005,5.49248e-005
2.45675228e-005,0.00101611
2.45675478e-005,0.00329549
2.45675728e-005,0.0053277
2.45675978e-005,0.0059868
2.45676228e-005,0.00516293
2.45676478e-005,0.00351519
2.45676728e-005,0.00266385
2.45676978e-005,0.00340534
2.45677228e-005,0.00466861
2.45677478e-005,0.00562979
2.45677728e-005,0.00579456
2.45677978e-005,0.00475099
2.45678228e-005,0.00329549
2.45678478e-005,0.00208714
2.45678728e-005,0.000851334
2.45678978e-005,-0.00010985
2.45679228e-005,-0.00112596
2.45679478e-005,-0.00260893
2.45679728e-005,-0.00370742
2.45679978e-005,-0.0032131
2.45680228e-005,-0.000604173
2.45680478e-005,0.00367996
2.45680728e-005,0.00763454
2.45680978e-005,0.00862319
2.45681228e-005,0.00653605
2.45681478e-005,0.00389966
2.45681728e-005,0.00340534
2.45681978e-005,0.00617904
2.45682228e-005,0.0107927
2.45682478e-005,0.0136213
2.45682728e-005,0.0131819
2.45682978e-005,0.0106554
2.45683228e-005,0.00774439
2.45683478e-005,0.00700291
2.45683728e-005,0.00988646
2.45683978e-005,0.0157634
2.45684228e-005,0.0236177
2.45684478e-005,0.032131
2.45684728e-005,0.0391339
2.45684978e-005,0.0433082
2.45685228e-005,0.0450932
2.45685478e-005,0.0444341
2.45685728e-005,0.0409739
2.45685978e-005,0.0353441
2.45686228e-005,0.02922
2.45686478e-005,0.025183
2.45686728e-005,0.0275448
2.45686978e-005,0.0392163
2.45687228e-005,0.0593188
2.45687478e-005,0.0851059
2.45687728e-005,0.111525
2.45687978e-005,0.132588
2.45688228e-005,0.144232
2.45688478e-005,0.144315
2.45688728e-005,0.13322
2.45688978e-005,0.11331
2.45689228e-005,0.0884014
2.45689478e-005,0.0638226
2.45689728e-005,0.045972
2.45689978e-005,0.04199
2.45690228e-005,0.0568746
2.45690478e-005,0.0911751
2.45690728e-005,0.140058
2.45690978e-005,0.193747
2.45691228e-005,0.241092
2.45691478e-005,0.273663
2.45691728e-005,0.287421
2.45691978e-005,0.283412
2.45692228e-005,0.265973
2.45692478e-005,0.239362
2.45692728e-005,0.206874
2.45692978e-005,0.170761
2.45693228e-005,0.13344
2.45693478e-005,0.0994413
2.45693728e-005,0.0749998
2.45693978e-005,0.0665139
2.45694228e-005,0.0781854
2.45694478e-005,0.109081
2.45694728e-005,0.153103
2.45694978e-005,0.202563
2.45695228e-005,0.250567
2.45695478e-005,0.292639
2.45695728e-005,0.326665
2.45695978e-005,0.350502
2.45696228e-005,0.360142
2.45696478e-005,0.352095
2.45696728e-005,0.325676
2.45696978e-005,0.28267
2.45697228e-005,0.227938
2.45697478e-005,0.168454
2.45697728e-005,0.110618
2.45697978e-005,0.060637
2.45698228e-005,0.0244415
2.45698478e-005,0.00491577
2.45698728e-005,0.00140058
2.45698978e-005,0.0104632
2.45699228e-005,0.0257323
2.45699478e-005,0.0413858
2.45699728e-005,0.0545678
2.45699978e-005,0.0633832
2.45700228e-005,0.0672828
2.45700478e-005,0.0667611
2.45700728e-005,0.0619002
2.45700978e-005,0.0541833
2.45701228e-005,0.0472353
2.45701478e-005,0.0433356
2.45701728e-005,0.0416055
2.45701978e-005,0.0400951
2.45702228e-005,0.0364426
2.45702478e-005,0.0295221
2.45702728e-005,0.0221896
2.45702978e-005,0.0172189
2.45703228e-005,0.0140607
2.45703478e-005,0.01093
2.45703728e-005,0.00626142
2.45703978e-005,-0.000164774
2.45704228e-005,-0.0055474
2.45704478e-005,-0.00683813
2.45704728e-005,-0.00370742
2.45704978e-005,0.0018949
2.45705228e-005,0.00714022
2.45705478e-005,0.00961184
2.45705728e-005,0.00878796
2.45705978e-005,0.00568471
2.45706228e-005,0.00241669
2.45706478e-005,0.000851334
2.45706728e-005,0.00214207
2.45706978e-005,0.00590441
2.45707228e-005,0.0101611
2.45707478e-005,0.0125503
2.45707728e-005,0.0112047
2.45707978e-005,0.00675575
2.45708228e-005,0.00151043
2.45708478e-005,-0.00236177
2.45708728e-005,-0.00310325
2.45708978e-005,-0.0010985
2.45709228e-005,0.00142804
2.45709478e-005,0.00324056
2.45709728e-005,0.00354265
2.45709978e-005,0.00236177
2.45710228e-005,0.000631635
2.45710478e-005,-0.000878796
2.45710728e-005,-0.00203222
2.45710978e-005,-0.00225192
2.45711228e-005,-0.0010985
2.45711478e-005,0.00142804
2.45711728e-005,0.00491577
2.45711978e-005,0.00804648
2.45712228e-005,0.00977661
2.45712478e-005,0.0103533
2.45712728e-005,0.0111497
2.45712978e-005,0.0132918
2.45713228e-005,0.0159282
2.45713478e-005,0.0172464
2.45713728e-005,0.0152142
2.45713978e-005,0.0102709
2.45714228e-005,0.00519039
2.45714478e-005,0.00249908
2.45714728e-005,0.00252654
2.45714978e-005,0.00403697
2.45715228e-005,0.00538263
2.45715478e-005,0.00617904
2.45715728e-005,0.00692052
2.45715978e-005,0.00829364
2.45716228e-005,0.0096393
2.45716478e-005,0.00930975
2.45716728e-005,0.00637127
2.45716978e-005,0.00167521
2.45717228e-005,-0.00302086
2.45717478e-005,-0.00546502
2.45717728e-005,-0.0040919
