LECROYWR640Zi,60762,Waveform
Segments,1,SegmentSize,202
Segment,TrigTime,TimeSinceSegment1
#1,11-Oct-2021 10:18:37,0                 
Time,Ampl
-2.34112e-009,0.00475099
-2.31612e-009,0.00178506
-2.29112e-009,2.74624e-005
-2.26612e-009,-0.000659097
-2.24112e-009,-0.00120835
-2.21612e-009,-0.00203222
-2.19112e-009,-0.00370742
-2.16612e-009,-0.0048883
-2.14112e-009,-0.00398205
-2.11612e-009,-0.00068656
-2.09112e-009,0.00288355
-2.06612e-009,0.00433906
-2.04112e-009,0.00208714
-2.01612e-009,-0.00304833
-1.99112e-009,-0.00826618
-1.96612e-009,-0.0107927
-1.94112e-009,-0.0103808
-1.91612e-009,-0.00909005
-1.89112e-009,-0.00870558
-1.86612e-009,-0.0091999
-1.84112e-009,-0.00914498
-1.81612e-009,-0.00694798
-1.79112e-009,-0.0032131
-1.76612e-009,-0.000219699
-1.74112e-009,0.000247161
-1.71612e-009,-0.000741484
-1.69112e-009,-0.000247161
-1.66612e-009,0.00351519
-1.64112e-009,0.00972169
-1.61612e-009,0.0150494
-1.59112e-009,0.0159556
-1.56612e-009,0.0117814
-1.54112e-009,0.0048883
-1.51612e-009,-0.00140058
-1.49112e-009,-0.00502562
-1.46612e-009,-0.00562979
-1.44112e-009,-0.00425667
-1.41612e-009,-0.00192237
-1.39112e-009,0.000659097
-1.36612e-009,0.00271878
-1.34112e-009,0.00359757
-1.31612e-009,0.00260893
-1.29112e-009,0.000219699
-1.26612e-009,-0.00173013
-1.24112e-009,-0.00159282
-1.21612e-009,0.000961184
-1.19112e-009,0.00477846
-1.16612e-009,0.00782678
-1.14112e-009,0.00799155
-1.11612e-009,0.00543755
-1.09112e-009,0.00173013
-1.06612e-009,-0.00137312
-1.04112e-009,-0.00244415
-1.01612e-009,-0.00129073
-9.91122e-010,0.000494323
-9.66122e-010,0.00126327
-9.41122e-010,0.000988646
-9.16122e-010,0.000411936
-8.91122e-010,0.000823872
-8.66122e-010,0.0029934
-8.41122e-010,0.00565725
-8.16122e-010,0.00653605
-7.91122e-010,0.00475099
-7.66122e-010,0.000714022
-7.41122e-010,-0.00367996
-7.16122e-010,-0.00590441
-6.91122e-010,-0.00494323
-6.66122e-010,-0.00162028
-6.41122e-010,0.00203222
-6.16122e-010,0.0040919
-5.91122e-010,0.00359757
-5.66122e-010,0.0018949
-5.41122e-010,0.00145551
-5.16122e-010,0.0038722
-4.91122e-010,0.00887035
-4.66122e-010,0.0143354
-4.41122e-010,0.0172738
-4.16122e-010,0.0158458
-3.91122e-010,0.010216
-3.66122e-010,0.00225192
-3.41122e-010,-0.00541009
-3.16122e-010,-0.0105456
-2.91122e-010,-0.0115891
-2.66122e-010,-0.00834857
-2.41122e-010,-0.00159282
-2.16122e-010,0.00768947
-1.91122e-010,0.016807
-1.66122e-010,0.0213932
-1.41122e-010,0.0183449
-1.16122e-010,0.00884289
-9.11217e-011,-2.74624e-005
-6.61217e-011,0.00549248
-4.11217e-011,0.0399852
-1.61217e-011,0.10952
8.87834e-012,0.205419
3.38783e-011,0.303816
5.88783e-011,0.369204
8.38783e-011,0.367969
1.08878e-010,0.286707
1.33878e-010,0.140223
1.58878e-010,-0.0329549
1.83878e-010,-0.185536
2.08878e-010,-0.283989
2.33878e-010,-0.323562
2.58878e-010,-0.322628
2.83878e-010,-0.306865
3.08878e-010,-0.294232
3.33878e-010,-0.286378
3.58878e-010,-0.271301
3.83878e-010,-0.236479
4.08878e-010,-0.17889
4.33878e-010,-0.106417
4.58878e-010,-0.0352068
4.83878e-010,0.0182076
5.08878e-010,0.0464114
5.33878e-010,0.0526179
5.58878e-010,0.046027
5.83878e-010,0.0372939
6.08878e-010,0.0322958
6.33878e-010,0.031005
6.58878e-010,0.0308677
6.83878e-010,0.029934
7.08878e-010,0.0275722
7.33878e-010,0.0246338
7.58878e-010,0.0220248
7.83878e-010,0.0201025
8.08878e-010,0.0188941
8.33878e-010,0.0184822
8.58878e-010,0.0187568
8.83878e-010,0.0191413
9.08878e-010,0.0193335
9.33878e-010,0.0187019
9.58878e-010,0.0164225
9.83878e-010,0.0123306
1.00888e-009,0.00697545
1.03388e-009,0.00247161
1.05888e-009,0.00159282
1.08388e-009,0.00562979
1.10888e-009,0.0132369
1.13388e-009,0.0207616
1.15888e-009,0.0251281
1.18388e-009,0.0251281
1.20888e-009,0.0219974
1.23388e-009,0.0173562
1.25888e-009,0.012413
1.28388e-009,0.00793663
1.30888e-009,0.00491577
1.33388e-009,0.00447637
1.35888e-009,0.00678321
1.38388e-009,0.0105456
1.40888e-009,0.0134291
1.43388e-009,0.0143628
1.45888e-009,0.013539
1.48388e-009,0.0113969
1.50888e-009,0.0087605
1.53388e-009,0.00626142
1.55888e-009,0.00450383
1.58388e-009,0.00425667
1.60888e-009,0.00549248
1.63388e-009,0.00667336
1.65888e-009,0.00623396
1.68388e-009,0.00477846
1.70888e-009,0.00433906
1.73388e-009,0.00694798
1.75888e-009,0.0125228
1.78388e-009,0.0182076
1.80888e-009,0.020789
1.83388e-009,0.019361
1.85888e-009,0.0153789
1.88388e-009,0.010985
1.90888e-009,0.00757962
1.93388e-009,0.00519039
1.95888e-009,0.0032131
1.98388e-009,0.00194983
2.00888e-009,0.00203222
2.03388e-009,0.00362504
2.05888e-009,0.00637127
2.08388e-009,0.00906259
2.10888e-009,0.0101062
2.13388e-009,0.00887035
2.15888e-009,0.00560233
2.18388e-009,0.00148297
2.20888e-009,-0.00181252
2.23388e-009,-0.0036525
2.25888e-009,-0.00392712
2.28388e-009,-0.00285609
2.30888e-009,-0.000906259
2.33388e-009,0.00159282
2.35888e-009,0.00392712
2.38388e-009,0.00472353
2.40888e-009,0.00318564
2.43388e-009,2.74624e-005
2.45888e-009,-0.00318564
2.48388e-009,-0.00499815
2.50888e-009,-0.00458622
2.53388e-009,-0.00208714
2.55888e-009,0.00120835
2.58388e-009,0.00433906
2.60888e-009,0.00587695
2.63388e-009,0.00453129
2.65888e-009,0.000302086
2.68388e-009,-0.00475099
