LECROYWR640Zi,60762,Waveform
Segments,1,SegmentSize,402
Segment,TrigTime,TimeSinceSegment1
#1,11-Oct-2021 10:08:30,0                 
Time,Ampl
5.37232104e-006,0.00653605
5.37234604e-006,0.00667336
5.37237104e-006,0.00823872
5.37239604e-006,0.0102984
5.37242104e-006,0.0110399
5.37244604e-006,0.00961184
5.37247104e-006,0.00697545
5.37249604e-006,0.00538263
5.37252104e-006,0.00612411
5.37254604e-006,0.00763454
5.37257104e-006,0.00749723
5.37259604e-006,0.0048883
5.37262104e-006,0.000851334
5.37264604e-006,-0.00200475
5.37267104e-006,-0.00159282
5.37269604e-006,0.00101611
5.37272104e-006,0.00381727
5.37274604e-006,0.00549248
5.37277104e-006,0.00535517
5.37279604e-006,0.00431159
5.37282104e-006,0.00420175
5.37284604e-006,0.00524532
5.37287104e-006,0.00656351
5.37289604e-006,0.007305
5.37292104e-006,0.00609665
5.37294604e-006,0.00227938
5.37297104e-006,-0.00219699
5.37299604e-006,-0.00466861
5.37302104e-006,-0.00373488
5.37304604e-006,0.000796409
5.37307104e-006,0.0070853
5.37309604e-006,0.0119736
5.37312104e-006,0.0140058
5.37314604e-006,0.0140607
5.37317104e-006,0.0134016
5.37319604e-006,0.0134566
5.37322104e-006,0.0147748
5.37324604e-006,0.0167246
5.37327104e-006,0.0182076
5.37329604e-006,0.0185371
5.37332104e-006,0.0175485
5.37334604e-006,0.0154888
5.37337104e-006,0.013127
5.37339604e-006,0.0113969
5.37342104e-006,0.0105181
5.37344604e-006,0.0103259
5.37347104e-006,0.0108751
5.37349604e-006,0.0118363
5.37352104e-006,0.0125503
5.37354604e-006,0.0122208
5.37357104e-006,0.00972169
5.37359604e-006,0.00477846
5.37362104e-006,-0.000961184
5.37364604e-006,-0.00519039
5.37367104e-006,-0.00617904
5.37369604e-006,-0.00357011
5.37372104e-006,0.00123581
5.37374604e-006,0.00551994
5.37377104e-006,0.007305
5.37379604e-006,0.00703037
5.37382104e-006,0.00606919
5.37384604e-006,0.00590441
5.37387104e-006,0.00697545
5.37389604e-006,0.00768947
5.37392104e-006,0.00615157
5.37394604e-006,0.002554
5.37397104e-006,-0.00118088
5.37399604e-006,-0.00340534
5.37402104e-006,-0.00313071
5.37404604e-006,-0.000466861
5.37407104e-006,0.00326802
5.37409604e-006,0.00711276
5.37412104e-006,0.0101611
5.37414604e-006,0.0110399
5.37417104e-006,0.00906259
